Đội có chỉ số cao nhất ở mỗi chỉ số:
Chỉ số: Std of Lost-Challenges, Đội: Liverpool, Giá trị lớn nhất: 17.85469247256987
Chỉ số: Median of Blocks, Đội: Luton Town, Giá trị lớn nhất: 22.0
Chỉ số: Mean of Blocks, Đội: West Ham, Giá trị lớn nhất: 22.045454545454547
Chỉ số: Std of Blocks, Đội: Everton, Giá trị lớn nhất: 19.759122574172817
Chỉ số: Median of Sh-Blocks, Đội: Luton Town, Giá trị lớn nhất: 6.0
Chỉ số: Mean of Sh-Blocks, Đội: West Ham, Giá trị lớn nhất: 8.090909090909092
Chỉ số: Std of Sh-Blocks, Đội: Everton, Giá trị lớn nhất: 12.994526059456012
Chỉ số: Median of Pass, Đội: Liverpool, Giá trị lớn nhất: 15.5
Chỉ số: Mean of Pass, Đội: Liverpool, Giá trị lớn nhất: 16.454545454545453
Chỉ số: Std of Pass, Đội: Fulham, Giá trị lớn nhất: 13.135013187224878
Chỉ số: Median of Int, Đội: Fulham, Giá trị lớn nhất: 13.0
Chỉ số: Mean of Int, Đội: Fulham, Giá trị lớn nhất: 17.523809523809526
Chỉ số: Std of Int, Đội: Fulham, Giá trị lớn nhất: 18.851045190171945
Chỉ số: Median of Tkl+Int, Đội: Crystal Palace, Giá trị lớn nhất: 46.0
Chỉ số: Mean of Tkl+Int, Đội: Fulham, Giá trị lớn nhất: 49.61904761904762
Chỉ số: Std of Tkl+Int, Đội: Fulham, Giá trị lớn nhất: 50.14626226397755
Chỉ số: Median of Clr, Đội: Nott'ham Forest, Giá trị lớn nhất: 25.0
Chỉ số: Mean of Clr, Đội: West Ham, Giá trị lớn nhất: 41.13636363636363
Chỉ số: Std of Clr, Đội: Crystal Palace, Giá trị lớn nhất: 50.21338524707346
Chỉ số: Median of Err, Đội: Tottenham, Giá trị lớn nhất: 1.0
Chỉ số: Mean of Err, Đội: Tottenham, Giá trị lớn nhất: 1.0
Chỉ số: Std of Err, Đội: Liverpool, Giá trị lớn nhất: 1.4241272864946195
Chỉ số: Median of Touches, Đội: Manchester City, Giá trị lớn nhất: 1283.0
Chỉ số: Mean of Touches, Đội: Manchester City, Giá trị lớn nhất: 1492.095238095238
Chỉ số: Std of Touches, Đội: Manchester City, Giá trị lớn nhất: 1024.4471633403991
Chỉ số: Median of Def Pen, Đội: Manchester Utd, Giá trị lớn nhất: 55.0
Chỉ số: Mean of Def Pen, Đội: Fulham, Giá trị lớn nhất: 132.71428571428572
Chỉ số: Std of Def Pen, Đội: Fulham, Giá trị lớn nhất: 273.749729288842
