Kết quả phân cụm với tên:
                 Player  Cluster Cluster_Name
           Reiss Nelson        1      Tiền vệ
             Pedro Neto        0     Tiền đạo
                   Neto        3      Thủ môn
        Moussa Niakhate        1      Tiền vệ
          Eddie Nketiah        1      Tiền vệ
     Christopher Nkunku        1      Tiền vệ
 Rhys Norrington-Davies        1      Tiền vệ
         Oliver Norwood        1      Tiền vệ
          Matheus Nunes        1      Tiền vệ
          Matheus Nunes        1      Tiền vệ
     Christian Nørgaard        2       Hậu vệ
           Darwin Núñez        0     Tiền đạo
            Dara O'Shea        2       Hậu vệ
         Wilson Odobert        0     Tiền đạo
         Odeluga Offiah        1      Tiền vệ
       Chiedozie Ogbene        0     Tiền đạo
         Angelo Ogbonna        1      Tiền vệ
          Michael Olise        0     Tiền đạo
            Robin Olsen        1      Tiền vệ
     Andrew Omobamidele        1      Tiền vệ
           Amadou Onana        2       Hậu vệ
            André Onana        3      Thủ môn
         Fred Onyedinma        1      Tiền vệ
           Frank Onyeka        1      Tiền vệ
           Divock Origi        1      Tiền vệ
          Stefan Ortega        1      Tiền vệ
             Ben Osborn        1      Tiền vệ
           Gabriel Osho        2       Hậu vệ
          William Osula        1      Tiền vệ
         Dango Ouattara        1      Tiền vệ
             David Ozoh        1      Tiền vệ
          João Palhinha        2       Hậu vệ
            Cole Palmer        0     Tiền đạo
       Emerson Palmieri        2       Hậu vệ
          Lucas Paquetá        0     Tiền đạo
          Thomas Partey        1      Tiền vệ
       Nathan Patterson        1      Tiền vệ
             João Pedro        0     Tiền đạo
      Facundo Pellistri        1      Tiền vệ
        Andreas Pereira        0     Tiền đạo
           Ivan Perišić        1      Tiền vệ
         Đorđe Petrović        1      Tiền vệ
        Kalvin Phillips        1      Tiền vệ
        Kalvin Phillips        1      Tiền vệ
        Jordan Pickford        3      Thủ môn
          Ethan Pinnock        2       Hậu vệ
              Nick Pope        1      Tiền vệ
            Pedro Porro        2       Hậu vệ
         Jarell Quansah        1      Tiền vệ
             Ionuț Radu        1      Tiền vệ
         Aaron Ramsdale        1      Tiền vệ
           Aaron Ramsey        1      Tiền vệ
           Jacob Ramsey        1      Tiền vệ
        Marcus Rashford        0     Tiền đạo
             David Raya        3      Thủ môn
               Tim Ream        2       Hậu vệ
         Nathan Redmond        1      Tiền vệ
          Harrison Reed        1      Tiền vệ
        Sergio Reguilón        1      Tiền vệ
        Sergio Reguilón        1      Tiền vệ
             Bobby Reid        1      Tiền vệ
              Gio Reyna        1      Tiền vệ
            Declan Rice        2       Hậu vệ
         Chris Richards        2       Hậu vệ
            Richarlison        0     Tiền đạo
        Jaïro Riedewald        1      Tiền vệ
           Matt Ritchie        1      Tiền vệ
         Connor Roberts        1      Tiền vệ
       Andrew Robertson        2       Hậu vệ
          Jack Robinson        2       Hậu vệ
       Antonee Robinson        2       Hậu vệ
                  Rodri        2       Hậu vệ
          Jay Rodriguez        1      Tiền vệ
          Mads Roerslev        1      Tiền vệ
          Morgan Rogers        1      Tiền vệ
        Cristian Romero        2       Hậu vệ
           Joe Rothwell        1      Tiền vệ
       Emile Smith Rowe        1      Tiền vệ
            Bukayo Saka        0     Tiền đạo
      Jesurun Rak Sakyi        1      Tiền vệ
          Mohamed Salah        0     Tiền đạo
         William Saliba        2       Hậu vệ
        Ibrahim Sangaré        1      Tiền vệ
          Pablo Sarabia        0     Tiền đạo
        Pape Matar Sarr        2       Hậu vệ
           Kevin Schade        1      Tiền vệ
        Jeffrey Schlupp        1      Tiền vệ
           Fabian Schär        2       Hậu vệ
             Alex Scott        1      Tiền vệ
              Matz Sels        1      Tiền vệ
          Nélson Semedo        2       Hậu vệ
        Antoine Semenyo        0     Tiền đạo
          Marcos Senesi        2       Hậu vệ
              Luke Shaw        1      Tiền vệ
            Fábio Silva        1      Tiền vệ
           Thiago Silva        2       Hậu vệ
         Bernardo Silva        0     Tiền đạo
        Luis Sinisterra        1      Tiền vệ
           Oliver Skipp        1      Tiền vệ
       Anis Ben Slimane        1      Tiền vệ
             Adam Smith        2       Hậu vệ
        Dominic Solanke        0     Tiền đạo
          Manor Solomon        1      Tiền vệ
         Vinicius Souza        2       Hậu vệ
           Tomáš Souček        2       Hậu vệ
           Jason Steele        1      Tiền vệ
        Raheem Sterling        0     Tiền đạo
            John Stones        1      Tiền vệ
       Thomas Strakosha        1      Tiền vệ
     Dominik Szoboszlai        0     Tiền đạo
                José Sá        3      Thủ môn
         Robert Sánchez        1      Tiền vệ
        James Tarkowski        2       Hậu vệ
           Nuno Tavares        1      Tiền vệ
       Marcus Tavernier        0     Tiền đạo
         Charlie Taylor        2       Hậu vệ
             Kenny Tete        1      Tiền vệ
            Luke Thomas        1      Tiền vệ
        Youri Tielemans        2       Hậu vệ
          Harry Toffolo        1      Tiền vệ
      Takehiro Tomiyasu        1      Tiền vệ
          Sandro Tonali        1      Tiền vệ
             Ivan Toney        1      Tiền vệ
             Pau Torres        2       Hậu vệ
        Andros Townsend        1      Tiền vệ
         James Trafford        3      Thủ môn
           Adama Traoré        1      Tiền vệ
           Bénie Traoré        1      Tiền vệ
        Boubacar Traoré        1      Tiền vệ
           Mark Travers        1      Tiền vệ
        Kieran Trippier        2       Hậu vệ
       Leandro Trossard        0     Tiền đạo
          Auston Trusty        2       Hậu vệ
            Mike Trésor        1      Tiền vệ
        Kostas Tsimikas        1      Tiền vệ
            Matt Turner        1      Tiền vệ
         Destiny Udogie        2       Hậu vệ
       Lesley Ugochukwu        1      Tiền vệ
         Raphaël Varane        1      Tiền vệ
           Joël Veltman        2       Hậu vệ
       Micky van de Ven        2       Hậu vệ
        Bart Verbruggen        1      Tiền vệ
      Guglielmo Vicario        3      Thủ môn
           Fabio Vieira        1      Tiền vệ
        Carlos Vinícius        1      Tiền vệ
                Vitinho        2       Hậu vệ
   Odisseas Vlachodimos        1      Tiền vệ
            Kyle Walker        2       Hậu vệ
      Aaron Wan-Bissaka        2       Hậu vệ
              Joel Ward        2       Hậu vệ
      James Ward-Prowse        0     Tiền đạo
          Ollie Watkins        0     Tiền đạo
